,Genus,Type,Site,relative_abundance
85,g__Meliniomyces,Root,BGM_F,1.905733524
331,g__Meliniomyces,Root,HKM_1,6.317917614
332,g__Meliniomyces,Root,HKM_2,4.445098296
333,g__Meliniomyces,Root,HKM_3,3.041935441
334,g__Meliniomyces,Root,HKM_4,1.865981718
335,g__Meliniomyces,Root,HKM_F,9.564415764
660,g__Meliniomyces,Root,RGM_Pit,0
661,g__Meliniomyces,Root,RGM_Process,3.466863968
544,g__Micarea,Soil,SH_F,0
545,g__Micarea,Soil,SH_M,0.430713602
546,g__Micarea,Soil,SH_P,0
96,g__Mortierella,Soil,BGM_1,3.279720707
97,g__Mortierella,Soil,BGM_2,0.000409925
98,g__Mortierella,Soil,BGM_3,0.00357705
99,g__Mortierella,Soil,BGM_4,0.000422826
100,g__Mortierella,Soil,BGM_F,3.212076422
346,g__Mortierella,Soil,HKM_1,2.019105943
347,g__Mortierella,Soil,HKM_2,3.064162867
348,g__Mortierella,Soil,HKM_3,0.487638814
349,g__Mortierella,Soil,HKM_4,0.028147913
350,g__Mortierella,Soil,HKM_F,0.557600668
666,g__Mortierella,Soil,RGM_Pit,1.913768033
667,g__Mortierella,Soil,RGM_Process,5.123900162
547,g__Mortierella,Soil,SH_F,0.002330206
548,g__Mortierella,Soil,SH_M,0.123630756
549,g__Mortierella,Soil,SH_P,0.062248882
91,g__Mortierella,Root,BGM_1,0
92,g__Mortierella,Root,BGM_2,0
93,g__Mortierella,Root,BGM_3,0
94,g__Mortierella,Root,BGM_4,0
95,g__Mortierella,Root,BGM_F,0.040807998
341,g__Mortierella,Root,HKM_1,0.060652009
342,g__Mortierella,Root,HKM_2,0.028115601
343,g__Mortierella,Root,HKM_3,0.005540385
344,g__Mortierella,Root,HKM_4,0.098965022
345,g__Mortierella,Root,HKM_F,0.044249827
664,g__Mortierella,Root,RGM_Pit,0.182385854
665,g__Mortierella,Root,RGM_Process,0.047563682
670,g__Mycena,Soil,RGM_Pit,0.294646615
671,g__Mycena,Soil,RGM_Process,0
668,g__Mycena,Root,RGM_Pit,1.142230053
669,g__Mycena,Root,RGM_Process,0.258957827
550,g__Myrmecridium,Soil,SH_F,0
551,g__Myrmecridium,Soil,SH_M,0.170823142
552,g__Myrmecridium,Soil,SH_P,0
553,g__Myrothecium,Soil,SH_F,0
554,g__Myrothecium,Soil,SH_M,0.576943529
555,g__Myrothecium,Soil,SH_P,0
106,g__Oidiodendron,Soil,BGM_1,1.608848668
107,g__Oidiodendron,Soil,BGM_2,1.946734332
108,g__Oidiodendron,Soil,BGM_3,0.000511007
109,g__Oidiodendron,Soil,BGM_4,0.221983561
110,g__Oidiodendron,Soil,BGM_F,0.370203098
356,g__Oidiodendron,Soil,HKM_1,0.264011966
357,g__Oidiodendron,Soil,HKM_2,1.019712039
358,g__Oidiodendron,Soil,HKM_3,0.847674501
359,g__Oidiodendron,Soil,HKM_4,0.606693453
360,g__Oidiodendron,Soil,HKM_F,0.109645656
674,g__Oidiodendron,Soil,RGM_Pit,0.076531588
675,g__Oidiodendron,Soil,RGM_Process,0.026934818
101,g__Oidiodendron,Root,BGM_1,1.005303339
102,g__Oidiodendron,Root,BGM_2,5.563139114
103,g__Oidiodendron,Root,BGM_3,0
104,g__Oidiodendron,Root,BGM_4,1.624281591
105,g__Oidiodendron,Root,BGM_F,0.224443991
351,g__Oidiodendron,Root,HKM_1,0.04204287
352,g__Oidiodendron,Root,HKM_2,1.484896038
353,g__Oidiodendron,Root,HKM_3,0.503383593
354,g__Oidiodendron,Root,HKM_4,2.248999018
355,g__Oidiodendron,Root,HKM_F,1.038949067
672,g__Oidiodendron,Root,RGM_Pit,3.514791802
673,g__Oidiodendron,Root,RGM_Process,2.81154212
366,g__Penicillium,Soil,HKM_1,0.067731557
367,g__Penicillium,Soil,HKM_2,0.616375235
368,g__Penicillium,Soil,HKM_3,0.119737985
369,g__Penicillium,Soil,HKM_4,0.223215975
370,g__Penicillium,Soil,HKM_F,0.019761061
556,g__Penicillium,Soil,SH_F,0.00155347
557,g__Penicillium,Soil,SH_M,1.208390939
558,g__Penicillium,Soil,SH_P,0
361,g__Penicillium,Root,HKM_1,0.020676821
362,g__Penicillium,Root,HKM_2,0.202693867
363,g__Penicillium,Root,HKM_3,0.122679964
364,g__Penicillium,Root,HKM_4,0.018886455
365,g__Penicillium,Root,HKM_F,0.004609357
678,g__Pezoloma,Soil,RGM_Pit,0.040179084
679,g__Pezoloma,Soil,RGM_Process,0.154426288
676,g__Pezoloma,Root,RGM_Pit,0.058734428
677,g__Pezoloma,Root,RGM_Process,0.880808935
682,g__Phialocephala,Soil,RGM_Pit,0.447709792
683,g__Phialocephala,Soil,RGM_Process,0.041300054
680,g__Phialocephala,Root,RGM_Pit,10.19506013
681,g__Phialocephala,Root,RGM_Process,8.66715992
559,g__Phoma,Soil,SH_F,0
560,g__Phoma,Soil,SH_M,2.122992662
561,g__Phoma,Soil,SH_P,0.014147473
116,g__Pisolithus,Soil,BGM_1,0.00704811
117,g__Pisolithus,Soil,BGM_2,0.160690642
118,g__Pisolithus,Soil,BGM_3,5.368640517
119,g__Pisolithus,Soil,BGM_4,0.334455231
120,g__Pisolithus,Soil,BGM_F,0.004790059
111,g__Pisolithus,Root,BGM_1,0.000971308
112,g__Pisolithus,Root,BGM_2,0.028737697
113,g__Pisolithus,Root,BGM_3,31.05272467
114,g__Pisolithus,Root,BGM_4,12.88325399
115,g__Pisolithus,Root,BGM_F,0
562,g__Pochonia,Soil,SH_F,0.013204499
563,g__Pochonia,Soil,SH_M,0.057162608
564,g__Pochonia,Soil,SH_P,0.008488484
565,g__Protoparmelia,Soil,SH_F,0
566,g__Protoparmelia,Soil,SH_M,2.053201106
567,g__Protoparmelia,Soil,SH_P,0.005658989
568,g__Pseudeurotium,Soil,SH_F,0
569,g__Pseudeurotium,Soil,SH_M,0.044533659
570,g__Pseudeurotium,Soil,SH_P,0
376,g__Pseudogymnoascus,Soil,HKM_1,0.002116611
377,g__Pseudogymnoascus,Soil,HKM_2,0.001196845
378,g__Pseudogymnoascus,Soil,HKM_3,1.423355951
379,g__Pseudogymnoascus,Soil,HKM_4,0
380,g__Pseudogymnoascus,Soil,HKM_F,0
371,g__Pseudogymnoascus,Root,HKM_1,0
372,g__Pseudogymnoascus,Root,HKM_2,0.058846607
373,g__Pseudogymnoascus,Root,HKM_3,0
374,g__Pseudogymnoascus,Root,HKM_4,0
375,g__Pseudogymnoascus,Root,HKM_F,0
571,g__Purpureocillium,Soil,SH_F,0
572,g__Purpureocillium,Soil,SH_M,0.065138785
573,g__Purpureocillium,Soil,SH_P,0.022635957
574,g__Rachicladosporium,Soil,SH_F,0
575,g__Rachicladosporium,Soil,SH_M,0.112331171
576,g__Rachicladosporium,Soil,SH_P,0
686,g__Rhizodermea,Soil,RGM_Pit,0
687,g__Rhizodermea,Soil,RGM_Process,0
684,g__Rhizodermea,Root,RGM_Pit,0
685,g__Rhizodermea,Root,RGM_Process,0.842053342
577,g__Rhizophydium,Soil,SH_F,0
578,g__Rhizophydium,Soil,SH_M,0.061150697
579,g__Rhizophydium,Soil,SH_P,0
126,g__Rhizopogon,Soil,BGM_1,1.231539824
127,g__Rhizopogon,Soil,BGM_2,0.980404213
128,g__Rhizopogon,Soil,BGM_3,0.002044028
129,g__Rhizopogon,Soil,BGM_4,0.325434947
130,g__Rhizopogon,Soil,BGM_F,0.050181566
386,g__Rhizopogon,Soil,HKM_1,0.016227352
387,g__Rhizopogon,Soil,HKM_2,0.969444544
388,g__Rhizopogon,Soil,HKM_3,0.026999742
389,g__Rhizopogon,Soil,HKM_4,0.416922041
390,g__Rhizopogon,Soil,HKM_F,0.001129203
121,g__Rhizopogon,Root,BGM_1,3.501887574
122,g__Rhizopogon,Root,BGM_2,0.000399135
123,g__Rhizopogon,Root,BGM_3,0.23529664
124,g__Rhizopogon,Root,BGM_4,1.14123151
125,g__Rhizopogon,Root,BGM_F,0
381,g__Rhizopogon,Root,HKM_1,0
382,g__Rhizopogon,Root,HKM_2,0.009807768
383,g__Rhizopogon,Root,HKM_3,0
384,g__Rhizopogon,Root,HKM_4,0.003777291
385,g__Rhizopogon,Root,HKM_F,0
396,g__Russula,Soil,HKM_1,0.065262178
397,g__Russula,Soil,HKM_2,2.11931349
398,g__Russula,Soil,HKM_3,1.141326039
399,g__Russula,Soil,HKM_4,0.025348255
400,g__Russula,Soil,HKM_F,0
690,g__Russula,Soil,RGM_Pit,11.30849883
691,g__Russula,Soil,RGM_Process,5.473154965
391,g__Russula,Root,HKM_1,0.001723068
392,g__Russula,Root,HKM_2,1.711455473
393,g__Russula,Root,HKM_3,0.001978709
394,g__Russula,Root,HKM_4,0
395,g__Russula,Root,HKM_F,0
688,g__Russula,Root,RGM_Pit,0.047914928
689,g__Russula,Root,RGM_Process,0.001761618
406,g__Sagenomella,Soil,HKM_1,0.021871649
407,g__Sagenomella,Soil,HKM_2,0.786327241
408,g__Sagenomella,Soil,HKM_3,0.990186181
409,g__Sagenomella,Soil,HKM_4,0.840654061
