"","Taxa","OTU","BGM_1_Root","BGM_1_Soil","BGM_2_Root","BGM_2_Soil","BGM_3_Root","BGM_3_Soil","BGM_4_Root","BGM_4_Soil","BGM_F_Root","BGM_F_Soil","HKM_1_Root","HKM_1_Soil","HKM_2_Root","HKM_2_Soil","HKM_3_Root","HKM_3_Soil","HKM_4_Root","HKM_4_Soil","HKM_F_Root","HKM_F_Soil","SH_F_Soil","SH_M_Soil","SH_P_Soil","RGM_Pit_Root","RGM_Pit_Soil","RGM_Process_Root","RGM_Process_Soil"
"44","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1463","","","","","","","","","","","0.04","6.7","0.01","0.02","0.2","0.01","0.06","0.01","0.55","0.01","","","","","","",""
"45","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1443","","","","","","","","","","","0.24","0.02","0.03","0","0.66","5.36","0","0.01","0.61","0","","","","","","",""
"46","c__Archaeorhizomycetes;f__Archaeorhizomycetaceae;g__Archaeorhizomyces","OTU_36","","","","","","","","","","","0","1.67","0.01","3.7","0.01","0.36","0","0.95","0","0","","","","1.54","3.16","0","0"
"47","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1444","","","","","","","","","","","0","0","0","0","0","0.01","0.03","6.3","0.2","0","","","","","","",""
"48","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1358","","","","","","","","","","","0.19","0.02","0.85","0.05","0.04","0.05","0","4.79","0.1","0.02","","","","","","",""
"49","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1511","","","","","","","","","","","0.01","0","0","0","0.04","0","0","4.99","0","0.01","","","","","","",""
"50","c__Agaricomycetes;f__Sclerodermataceae;g__Scleroderma","OTU_108","","","","","","","","","","","","","","","","","","","","","0","0","47.19","","","",""
"51","c__unidentified;f__unidentified;g__unidentified","OTU_21","","","","","","","","","","","","","","","","","","","","","0","8.79","0.4","","","",""
"52","c__Rhizophydiomycetes;f__unidentified;g__unidentified","OTU_38","","","","","","","","","","","","","","","","","","","","","0","7.42","0.36","","","",""
"53","c__unidentified;f__unidentified;g__unidentified","OTU_33","","","","","","","","","","","","","","","","","","","","","0","0","7.27","","","",""
"54","c__Dothideomycetes;f__Teratosphaeriaceae;g__Devriesia","OTU_52","","","","","","","","","","","","","","","","","","","","","0","6.77","0.2","","","",""
"55","c__unidentified;f__unidentified;g__unidentified","OTU_25","","","","","","","","","","","","","","","","","","","","","0","5.65","0","","","",""
"56","c__unidentified;f__unidentified;g__unidentified","OTU_75","","","","","","","","","","","","","","","","","","","","","0","5.34","0.09","","","",""
"57","c__unidentified;f__unidentified;g__unidentified","OTU_23","","","","","","","","","","","","","","","","","","","","","0","5.37","0","","","",""
"58","c__unidentified;f__unidentified;g__unidentified","OTU_30","","","","","","","","","","","","","","","","","","","","","0","3.88","0","","","",""
"59","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1488","","","","","","","","","","","","","","","","","","","","","0","2.71","0","","","",""
"60","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1487","","","","","","","","","","","","","","","","","","","","","0","2.4","0","","","",""
